entity,account_name,prior_period,prior_amount,current_period,current_amount,dollar_variance,percent_variance,flagged
Investment Vehicle Alpha LLC,Insurance,2025-Q1,4000.0,2025-Q2,4100.0,100.0,2.5,False
Investment Vehicle Alpha LLC,Management Fees,2025-Q1,6000.0,2025-Q2,6100.0,100.0,1.7,False
Investment Vehicle Alpha LLC,Property Taxes,2025-Q1,10000.0,2025-Q2,10000.0,0.0,0.0,False
Investment Vehicle Alpha LLC,Rental Income,2025-Q1,120000.0,2025-Q2,122000.0,2000.0,1.7,False
Investment Vehicle Alpha LLC,Repairs & Maintenance,2025-Q1,8000.0,2025-Q2,28000.0,20000.0,250.0,True
Investment Vehicle Alpha LLC,Utilities,2025-Q1,3000.0,2025-Q2,3200.0,200.0,6.7,False
Investment Vehicle Alpha LLC,Net Operating Income (computed),2025-Q1,89000.0,2025-Q2,70600.0,-18400.0,-20.7,True
Investment Vehicle Bravo LLC,Insurance,2025-Q1,4500.0,2025-Q2,4600.0,100.0,2.2,False
Investment Vehicle Bravo LLC,Management Fees,2025-Q1,7000.0,2025-Q2,7000.0,0.0,0.0,False
Investment Vehicle Bravo LLC,Property Taxes,2025-Q1,12000.0,2025-Q2,12000.0,0.0,0.0,False
Investment Vehicle Bravo LLC,Rental Income,2025-Q1,140000.0,2025-Q2,98000.0,-42000.0,-30.0,True
Investment Vehicle Bravo LLC,Repairs & Maintenance,2025-Q1,9000.0,2025-Q2,9200.0,200.0,2.2,False
Investment Vehicle Bravo LLC,Utilities,2025-Q1,3500.0,2025-Q2,3600.0,100.0,2.9,False
Investment Vehicle Bravo LLC,Net Operating Income (computed),2025-Q1,104000.0,2025-Q2,61600.0,-42400.0,-40.8,True
Investment Vehicle Charlie LLC,Insurance,2025-Q1,3000.0,2025-Q2,3050.0,50.0,1.7,False
Investment Vehicle Charlie LLC,Management Fees,2025-Q1,5000.0,2025-Q2,5100.0,100.0,2.0,False
Investment Vehicle Charlie LLC,Property Taxes,2025-Q1,8000.0,2025-Q2,8000.0,0.0,0.0,False
Investment Vehicle Charlie LLC,Rental Income,2025-Q1,100000.0,2025-Q2,103000.0,3000.0,3.0,False
Investment Vehicle Charlie LLC,Repairs & Maintenance,2025-Q1,6000.0,2025-Q2,6300.0,300.0,5.0,False
Investment Vehicle Charlie LLC,Utilities,2025-Q1,2500.0,2025-Q2,2600.0,100.0,4.0,False
Investment Vehicle Charlie LLC,Net Operating Income (computed),2025-Q1,75500.0,2025-Q2,77950.0,2450.0,3.2,False
